airline,city,delay
Hawaiian Airlines Inc.,Cedar Rapids,0.0
American Eagle Airlines Inc.,Cedar Rapids,11.103795507358637
Virgin America,Cedar Rapids,0.0
United Air Lines Inc.,Tampa,10.294900605012964
American Airlines Inc.,Tampa,7.26192232055064
US Airways Inc.,Tampa,3.871794871794872
Frontier Airlines Inc.,Tampa,18.927165354330707
JetBlue Airways,Tampa,15.874078171091446
Skywest Airlines Inc.,Tampa,0.0
Alaska Airlines Inc.,Tampa,7.089820359281437
Spirit Air Lines,Tampa,16.307990690457718
Southwest Airlines Co.,Tampa,10.389135687008027
Delta Air Lines Inc.,Tampa,8.399652140303411
Atlantic Southeast Airlines,Tampa,0.0
Hawaiian Airlines Inc.,Tampa,0.0
American Eagle Airlines Inc.,Tampa,0.0
Virgin America,Tampa,0.0
United Air Lines Inc.,Syracuse,0.0
American Airlines Inc.,Syracuse,0.44280442804428044
US Airways Inc.,Syracuse,-0.6107594936708861
Frontier Airlines Inc.,Syracuse,0.0
JetBlue Airways,Syracuse,6.415713196033562
Skywest Airlines Inc.,Syracuse,12.483050847457626
Alaska Airlines Inc.,Syracuse,0.0
Spirit Air Lines,Syracuse,0.0
Southwest Airlines Co.,Syracuse,0.0
Delta Air Lines Inc.,Syracuse,5.2578671328671325
Atlantic Southeast Airlines,Syracuse,6.459919028340081
Hawaiian Airlines Inc.,Syracuse,0.0
American Eagle Airlines Inc.,Syracuse,10.061739943872778
Virgin America,Syracuse,0.0
United Air Lines Inc.,Rochester,10.801980198019802
American Airlines Inc.,Rochester,2.0779220779220777
US Airways Inc.,Rochester,6.720779220779221
Frontier Airlines Inc.,Rochester,0.0
JetBlue Airways,Rochester,5.380952380952381
Skywest Airlines Inc.,Rochester,0.0
Alaska Airlines Inc.,Rochester,0.0
Spirit Air Lines,Rochester,0.0
Southwest Airlines Co.,Rochester,8.63717277486911
Delta Air Lines Inc.,Rochester,9.71801140994295
Atlantic Southeast Airlines,Rochester,6.639004149377594
Hawaiian Airlines Inc.,Rochester,0.0
American Eagle Airlines Inc.,Rochester,8.130820399113082
Virgin America,Rochester,0.0
United Air Lines Inc.,Tyler,0.0
American Airlines Inc.,Tyler,0.0
US Airways Inc.,Tyler,0.0
Frontier Airlines Inc.,Tyler,0.0
JetBlue Airways,Tyler,0.0
Skywest Airlines Inc.,Tyler,0.0
Alaska Airlines Inc.,Tyler,0.0
Spirit Air Lines,Tyler,0.0
Southwest Airlines Co.,Tyler,0.0
Delta Air Lines Inc.,Tyler,0.0
Atlantic Southeast Airlines,Tyler,4.976234003656307
Hawaiian Airlines Inc.,Tyler,0.0
American Eagle Airlines Inc.,Tyler,12.842857142857143
Virgin America,Tyler,0.0
United Air Lines Inc.,Lansing,0.0
American Airlines Inc.,Lansing,0.0
US Airways Inc.,Lansing,0.0
Frontier Airlines Inc.,Lansing,0.0
JetBlue Airways,Lansing,0.0
Skywest Airlines Inc.,Lansing,9.97012987012987
Alaska Airlines Inc.,Lansing,0.0
Spirit Air Lines,Lansing,0.0
Southwest Airlines Co.,Lansing,0.0
Delta Air Lines Inc.,Lansing,-3.25
Atlantic Southeast Airlines,Lansing,5.053449951409135
Hawaiian Airlines Inc.,Lansing,0.0
American Eagle Airlines Inc.,Lansing,0.0
Virgin America,Lansing,0.0
United Air Lines Inc.,Fayetteville/Springdale/Rogers,0.0
American Airlines Inc.,Fayetteville/Springdale/Rogers,-7.055555555555555
US Airways Inc.,Fayetteville/Springdale/Rogers,0.0
Frontier Airlines Inc.,Fayetteville/Springdale/Rogers,0.0
JetBlue Airways,Fayetteville/Springdale/Rogers,0.0
Skywest Airlines Inc.,Fayetteville/Springdale/Rogers,8.488019169329073
Alaska Airlines Inc.,Fayetteville/Springdale/Rogers,0.0
Spirit Air Lines,Fayetteville/Springdale/Rogers,0.0
Southwest Airlines Co.,Fayetteville/Springdale/Rogers,0.0
Delta Air Lines Inc.,Fayetteville/Springdale/Rogers,3.389925373134328
Atlantic Southeast Airlines,Fayetteville/Springdale/Rogers,9.824172072379652
Hawaiian Airlines Inc.,Fayetteville/Springdale/Rogers,0.0
American Eagle Airlines Inc.,Fayetteville/Springdale/Rogers,15.450023463162834
Virgin America,Fayetteville/Springdale/Rogers,0.0
United Air Lines Inc.,Greensboro,0.0
American Airlines Inc.,Greensboro,-0.1276595744680851
US Airways Inc.,Greensboro,1.0
Frontier Airlines Inc.,Greensboro,10.924812030075188
JetBlue Airways,Greensboro,0.0
Skywest Airlines Inc.,Greensboro,26.333333333333332
Alaska Airlines Inc.,Greensboro,0.0
Spirit Air Lines,Greensboro,0.0
Southwest Airlines Co.,Greensboro,0.0
Delta Air Lines Inc.,Greensboro,5.380750925436277
Atlantic Southeast Airlines,Greensboro,12.00733418367347
Hawaiian Airlines Inc.,Greensboro,0.0
American Eagle Airlines Inc.,Greensboro,13.026248941574936
Virgin America,Greensboro,0.0
United Air Lines Inc.,Newark,18.691311947843342
American Airlines Inc.,Newark,8.261796904492261
US Airways Inc.,Newark,5.502477700693756
Frontier Airlines Inc.,Newark,0.0
JetBlue Airways,Newark,11.102473498233216
Skywest Airlines Inc.,Newark,299.5
Alaska Airlines Inc.,Newark,2.852986217457887
Spirit Air Lines,Newark,0.0
Southwest Airlines Co.,Newark,13.21781990521327
Delta Air Lines Inc.,Newark,10.645824929407018
Atlantic Southeast Airlines,Newark,9.634823734612418
Hawaiian Airlines Inc.,Newark,0.0
American Eagle Airlines Inc.,Newark,16.555248618784532
Virgin America,Newark,7.33719646799117
United Air Lines Inc.,West Palm Beach,14.756121449559256
American Airlines Inc.,West Palm Beach,5.419902912621359
US Airways Inc.,West Palm Beach,3.792008757525999
Frontier Airlines Inc.,West Palm Beach,21.315217391304348
JetBlue Airways,West Palm Beach,17.659132281553397
Skywest Airlines Inc.,West Palm Beach,9.157894736842104
Alaska Airlines Inc.,West Palm Beach,0.0
Spirit Air Lines,West Palm Beach,6.9506578947368425
Southwest Airlines Co.,West Palm Beach,12.673705179282868
Delta Air Lines Inc.,West Palm Beach,11.23719533733663
Atlantic Southeast Airlines,West Palm Beach,14.671328671328672
Hawaiian Airlines Inc.,West Palm Beach,0.0
American Eagle Airlines Inc.,West Palm Beach,0.0
Virgin America,West Palm Beach,0.0
United Air Lines Inc.,Ft. Myers,6.802132196162047
American Airlines Inc.,Ft. Myers,6.191119005328597
US Airways Inc.,Ft. Myers,3.747088186356073
Frontier Airlines Inc.,Ft. Myers,14.029082774049217
JetBlue Airways,Ft. Myers,14.798023314749113
Skywest Airlines Inc.,Ft. Myers,21.78723404255319
Alaska Airlines Inc.,Ft. Myers,0.0
Spirit Air Lines,Ft. Myers,14.757090576395242
Southwest Airlines Co.,Ft. Myers,8.60852158993423
Delta Air Lines Inc.,Ft. Myers,4.840785169029444
Atlantic Southeast Airlines,Ft. Myers,7.584905660377358
Hawaiian Airlines Inc.,Ft. Myers,0.0
American Eagle Airlines Inc.,Ft. Myers,0.0
Virgin America,Ft. Myers,0.0
United Air Lines Inc.,Oakland,0.0
American Airlines Inc.,Oakland,1.060200668896321
US Airways Inc.,Oakland,8.552542372881357
Frontier Airlines Inc.,Oakland,0.0
JetBlue Airways,Oakland,5.783646888567294
Skywest Airlines Inc.,Oakland,7.721644826028016
Alaska Airlines Inc.,Oakland,-1.736455463728191
Spirit Air Lines,Oakland,9.66435331230284
Southwest Airlines Co.,Oakland,11.03537287871711
Delta Air Lines Inc.,Oakland,2.32208922742111
Atlantic Southeast Airlines,Oakland,0.0
Hawaiian Airlines Inc.,Oakland,2.9400260756192957
American Eagle Airlines Inc.,Oakland,0.0
Virgin America,Oakland,0.0
United Air Lines Inc.,Providence,9.127272727272727
American Airlines Inc.,Providence,2.5747422680412373
US Airways Inc.,Providence,4.755671902268761
Frontier Airlines Inc.,Providence,0.0
JetBlue Airways,Providence,6.88422131147541
Skywest Airlines Inc.,Providence,1.864864864864865
Alaska Airlines Inc.,Providence,0.0
Spirit Air Lines,Providence,0.0
Southwest Airlines Co.,Providence,8.35706949674769
Delta Air Lines Inc.,Providence,6.229395604395604
Atlantic Southeast Airlines,Providence,11.076171875
Hawaiian Airlines Inc.,Providence,0.0
American Eagle Airlines Inc.,Providence,0.0
Virgin America,Providence,0.0
United Air Lines Inc.,Reno,3.317780580075662
American Airlines Inc.,Reno,9.123609394313968
US Airways Inc.,Reno,2.3932980599647267
Frontier Airlines Inc.,Reno,0.0
JetBlue Airways,Reno,18.714285714285715
Skywest Airlines Inc.,Reno,11.247246486897076
Alaska Airlines Inc.,Reno,0.0
Spirit Air Lines,Reno,0.0
Southwest Airlines Co.,Reno,8.09085020242915
Delta Air Lines Inc.,Reno,1.0624327233584498
Atlantic Southeast Airlines,Reno,0.0
Hawaiian Airlines Inc.,Reno,0.0
American Eagle Airlines Inc.,Reno,0.0
Virgin America,Reno,0.0
United Air Lines Inc.,Pittsburgh,9.501336898395722
American Airlines Inc.,Pittsburgh,4.052759987801159
US Airways Inc.,Pittsburgh,3.2275474956822108
Frontier Airlines Inc.,Pittsburgh,0.0
JetBlue Airways,Pittsburgh,4.2690735694822886
Skywest Airlines Inc.,Pittsburgh,10.19098712446352
Alaska Airlines Inc.,Pittsburgh,0.0
Spirit Air Lines,Pittsburgh,0.0
Southwest Airlines Co.,Pittsburgh,6.900267348599326
Delta Air Lines Inc.,Pittsburgh,6.975007181844298
Atlantic Southeast Airlines,Pittsburgh,8.454683929931456
Hawaiian Airlines Inc.,Pittsburgh,0.0
American Eagle Airlines Inc.,Pittsburgh,13.646853146853147
Virgin America,Pittsburgh,0.0
United Air Lines Inc.,Albuquerque,14.126470588235295
American Airlines Inc.,Albuquerque,8.20646221248631
US Airways Inc.,Albuquerque,2.1875
Frontier Airlines Inc.,Albuquerque,0.0
JetBlue Airways,Albuquerque,15.586715867158672
Skywest Airlines Inc.,Albuquerque,4.893832463945996
Alaska Airlines Inc.,Albuquerque,-6.709580838323354
Spirit Air Lines,Albuquerque,0.0
Southwest Airlines Co.,Albuquerque,10.692677959825975
Delta Air Lines Inc.,Albuquerque,5.347334410339257
Atlantic Southeast Airlines,Albuquerque,5.894865525672372
Hawaiian Airlines Inc.,Albuquerque,0.0
American Eagle Airlines Inc.,Albuquerque,13.471615720524017
Virgin America,Albuquerque,0.0
United Air Lines Inc.,Miami,13.862921348314607
American Airlines Inc.,Miami,13.033391842193247
US Airways Inc.,Miami,7.193072118114707
Frontier Airlines Inc.,Miami,20.516608824987607
JetBlue Airways,Miami,0.0
Skywest Airlines Inc.,Miami,13.160220994475138
Alaska Airlines Inc.,Miami,0.0
Spirit Air Lines,Miami,0.0
Southwest Airlines Co.,Miami,0.0
Delta Air Lines Inc.,Miami,11.191237418590882
Atlantic Southeast Airlines,Miami,0.0
Hawaiian Airlines Inc.,Miami,0.0
American Eagle Airlines Inc.,Miami,7.948536445379759
Virgin America,Miami,0.0
United Air Lines Inc.,Baltimore,12.615981119352664
American Airlines Inc.,Baltimore,9.339141104294479
US Airways Inc.,Baltimore,5.776470588235294
Frontier Airlines Inc.,Baltimore,0.0
JetBlue Airways,Baltimore,3.949826989619377
Skywest Airlines Inc.,Baltimore,156.0
Alaska Airlines Inc.,Baltimore,7.36231884057971
